SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
PIPE,2026-06-25,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-06-25,0.000575487,0.000000000,0.000575487,0.0000000000,0.0005754870
TRUST_CENTER,2026-06-25,0.986872507,0.000000000,0.986872507,0.0000000000,0.9868725070
WAREHOUSE_METERING,2026-06-25,71.207777736,2.447381624,73.655159360,-2.4473816240,71.2077777360
AI_FUNCTIONS,2026-06-26,0.187718400,0.000000000,0.187718400,0.0000000000,0.1877184000
AI_INFERENCE,2026-06-26,0.065350500,0.000000000,0.065350500,0.0000000000,0.0653505000
AI_SERVICES,2026-06-26,1.541000000,0.000000000,1.541000000,0.0000000000,1.5410000000
AUTO_CLUSTERING,2026-06-26,0.002055779,0.000000000,0.002055779,0.0000000000,0.0020557790
CORTEX_AGENTS,2026-06-26,22.604016510,0.000000000,22.604016510,0.0000000000,22.6040165100
CORTEX_CODE_DESKTOP,2026-06-26,11.534403270,0.000000000,11.534403270,0.0000000000,11.5344032700
CORTEX_CODE_SNOWSIGHT,2026-06-26,0.241528090,0.000000000,0.241528090,0.0000000000,0.2415280900
PIPE,2026-06-26,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_INTELLIGENCE,2026-06-26,2.947448810,0.000000000,2.947448810,0.0000000000,2.9474488100
TELEMETRY_DATA_INGEST,2026-06-26,0.005712121,0.000000000,0.005712121,0.0000000000,0.0057121210
TRUST_CENTER,2026-06-26,0.973016990,0.000000000,0.973016990,0.0000000000,0.9730169900
WAREHOUSE_METERING,2026-06-26,67.309999978,2.275388104,69.585388082,-2.2753881040,67.3099999780
AUTO_CLUSTERING,2026-06-27,0.000130278,0.000000000,0.000130278,0.0000000000,0.0001302780
TRUST_CENTER,2026-06-27,1.010400805,0.000000000,1.010400805,0.0000000000,1.0104008050
WAREHOUSE_METERING,2026-06-27,51.498888856,2.149470953,53.648359809,-2.1494709530,51.4988888560
AI_FUNCTIONS,2026-06-28,0.101647800,0.000000000,0.101647800,0.0000000000,0.1016478000
PIPE,2026-06-28,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_INTELLIGENCE,2026-06-28,1.386746830,0.000000000,1.386746830,0.0000000000,1.3867468300
TELEMETRY_DATA_INGEST,2026-06-28,0.000037229,0.000000000,0.000037229,0.0000000000,0.0000372290
TRUST_CENTER,2026-06-28,1.024812102,0.000000000,1.024812102,0.0000000000,1.0248121020
WAREHOUSE_METERING,2026-06-28,57.498888859,2.176899784,59.675788643,-2.1768997840,57.4988888590
AI_FUNCTIONS,2026-06-29,0.330840000,0.000000000,0.330840000,0.0000000000,0.3308400000
AI_INFERENCE,2026-06-29,0.001546500,0.000000000,0.001546500,0.0000000000,0.0015465000
AI_SERVICES,2026-06-29,0.134000000,0.000000000,0.134000000,0.0000000000,0.1340000000
AUTO_CLUSTERING,2026-06-29,0.001742001,0.000000000,0.001742001,0.0000000000,0.0017420010
COPY_FILES,2026-06-29,0.001007778,0.000000000,0.001007778,0.0000000000,0.0010077780
CORTEX_AGENTS,2026-06-29,2.789544660,0.000000000,2.789544660,0.0000000000,2.7895446600
CORTEX_CODE_SNOWSIGHT,2026-06-29,1.210818890,0.000000000,1.210818890,0.0000000000,1.2108188900
PIPE,2026-06-29,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_INTELLIGENCE,2026-06-29,3.524891970,0.000000000,3.524891970,0.0000000000,3.5248919700
TELEMETRY_DATA_INGEST,2026-06-29,0.000487850,0.000000000,0.000487850,0.0000000000,0.0004878500
TRUST_CENTER,2026-06-29,0.989887091,0.000000000,0.989887091,0.0000000000,0.9898870910
